"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit"
"","Fini Carmed Labial Leite Condesado - unidade","Fini ","unit","36",0,"5","6.8","244.799","180","40.8","6","10.8"
"","Fini Carmed Labial Brigadeiro - unidade","Fini ","unit","32",0,"5","6.8","217.6","160","81.6","12","21.6"
"","Fini Carmed Labial Maçã do Amor - unidade","Fini ","unit","138",0,"5","6.8","938.4","690",0,0,0
"","Fini Carmed Labial Açaí - unidade","Fini ","unit","100",0,"5","6.8","680","500","244.8","36","64.8"
"","Fini Carmed Labial Dentaduras - unidade","Fini ","unit","54",0,"5","6.8","367.2","270","163.2","24","43.2"
"","Fini Carmed Labial Água de Côco - unidade","Fini ","unit","68",0,"5","6.8","462.4","340","40.8","6","10.8"
"","Fini Carmed Labial Melancia - unidade","Fini ","unit","90",0,"5","6.8","612","450","40.8","6","10.8"
"","Fini Carmed Labial Beijo - unidade","Fini ","unit","60",0,"5","6.8","408","300","122.4","18","32.4"
"","Fini Carmed Labial Amora Intenso - unidades","Fini ","unit","77",0,"5","6.8","523.6","385","81.6","12","21.6"
"","Dove Spray 250ml Clean Confort for Men ","Desodorante ","unit","0",0,"30.5","48.95","0","0",0,0,0
"","Dove Spray 150ml Cucumber  Green c/12 ","Desodorante ","unit","0",0,"27","39.99","0","0",0,0,0
"","Dove Spray 150ml Passion Fruit c/12","Desodorante ","unit","0",0,"26.5","40.5","0","0",0,0,0
"","Dove Spray 150ml Powder Soft c/12","Desodorante ","unit","0",0,"26.5","42.75","0","0",0,0,0
"","Dove Spray 250ml Cool Fresh For Men c/12","Desodorante ","unit","0",0,"30.5","48.95","0","0",0,0,0
"","Claritin Anti-Alergico 25/1","Farmácia ","unit","0",0,"0.25","35","0","0",0,0,0
"","Colgate Creme Dental Sparkling White Mint 2.5oz c/12","Higiene Pessoal","unit","12",0,"10.75","16.45","197.399","129","180.95","11","62.7"
"","Skala Creme Frustatica Banana 1kg c/6","Farmácia ","unit","59",0,"16.99","22.99","1356.409","1002.409","195","10","62.1"
"","Hipoglos Pomada Transparente - unidade","Farmácia ","unit","129",0,"9","16.95","2186.549","1161","254.25","15","119.25"
"","Acetona Ideal 100ml c/12","Ideal","unit","0",0,"15.99","19.99","0","0",0,0,0
"","Finafta Multioral Spray 2oz - unidade","Farmácia ","unit","36",0,"5.85","8.98","323.280","210.6","107.76","12","37.56"
"","Gillette Razor 3 CT Simply Vênus 2 (3Rx4) - caixa com pacote de 3 unidades","Higiene Pessoal","unit","20",0,"14","19.6","392","280","58.8","3","16.8"
"","Gel Xtreme Clear 250g - unidade","Higiene Pessoal","unit","156",0,"1.2","1.95","304.2","187.2","23.4","12","9"
"","Gel Xtreme Clear 2.20kg - unidade","Higiene Pessoal","unit","45",0,"6.98","9.98","449.1","314.1",0,0,0
"","Deo Colonia Classic Giovanna Baby","","unit","57",0,"18.15","24.55","1399.350","1034.55","73.65","3","19.2"
"","Deo Colonia Blue Giovanna Baby","Acessórios ","unit","57",0,"18.15","24.45","1393.649","1034.55","73.35","3","18.9"
"","Fini Carmed Labial Cereja - unidade","","unit","152",0,"5","6.8","1033.6","760",0,0,0
"","Fini Carmed Labial Doce de Leite - unidade","Farmácia ","unit","28",0,"5","6.8","190.4","140",0,0,0
"","Fini Carmed Gel Dental Melancia - unidade","","unit","258",0,"5","5.99","1545.42","1290",0,0,0
"","Fini Carmed Gel Dental Dentadura - unidade","","unit","246",0,"5","5.99","1473.54","1230","35.94","6","5.94"
"","Fini Carmed Gel Dental Cereja - unidade","","unit","264",0,"5","5.99","1581.360","1320",0,0,0
"","Fini Carmed Gel Dental Minhocas - unidade","","unit","270",0,"5","5.99","1617.3","1350",0,0,0
"","Fini Carmed Gel Dental Beijos - unidade","","unit","0",0,"6","7.8","0","0",0,0,0
"","Fini Carmed Gel Dental Beijos - unidade","","unit","222",0,"5","5.99","1329.78","1110","71.88","12","11.88"
"","Fini Carmed Labial Beijinho - unidade","","unit","0",0,"5","6.8","0","0","40.8","6","10.8"
